dialog_act,utterance
null,sil
inform,north
affirm,yes
reqalts,how about indian food
null,unintelligible
request,phone number
thankyou,thank you good bye
request,post code
affirm,yes
thankyou,thank you good bye
inform,in the north part of town
inform,moderate
request,address
inform,moderate
bye,good bye
inform,modern european
request,address
inform,moderate range
reqalts,is there anything else
request,okay and can i get their address
inform,id like a restaurant in the north part of town serving swiss food
inform,any part of town
inform,polynesian food east of town
request,what is the address and phone number
null,system
thankyou,thank you good bye
null,noise
thankyou,thank you good bye
thankyou,thank you good bye
inform,west part of town
inform,hungarian
inform,cheap
inform,im looking for an expensive restaurant serving vegetarian food
inform,malaysian
hello,hi i need a restaurant in any area
null,noise
inform,japanese
null,breathing
bye,good bye
reqalts,is there anything else
reqalts,how about french food
reqalts,what about indian food
inform,moderately priced
request,phone number
reqalts,what about gastropub
inform,north
negate,no
inform,corsica
thankyou,thank you good bye
inform,any area
request,whats the address
inform,moderately priced food in the north part of town
request,post code
reqalts,what about asian oriental
thankyou,thank you goodbye
inform,any food
inform,gastropub
inform,american
request,can i get the phone number
thankyou,thank you goodbye
inform,italian food
inform,south
request,what type of food
inform,id like a restaurant in the north part of town serving indian food
null,laugh
affirm,correct
request,may i have the phone number
request,and the phone number
reqalts,is there anything else
null,breathing
request,how about the post code
null,unintelligible
inform,im looking for a restaurant that serves chinese food
thankyou,thank you good bye
request,the address
null,unintelligible
reqalts,anything else
reqalts,is there anything else
null,care
affirm,right
request,address
bye,goodbye
inform,any
inform,expensive
inform,dont matter
null,sil
inform,moderate
request,what is the phone number
request,okay whats the address
affirm,yes
inform,i dont care
inform,im looking for a restaurant that serves russian food
request,phone number
null,the addre
inform,canapes
inform,im looking for a restaurant that serves mexican food
thankyou,thank you good bye
request,can i have an address and phone number
null,noise
inform,i dont care
request,whats the address
null,sil
request,can i have the address and phone number
thankyou,thank you
request,what is the address
inform,im looking for an expensive restaurant
request,whats the price range
affirm,right
request,whats the post code
affirm,breath correct
inform,dont care
thankyou,thank you good bye
inform,vietnamese food
inform,noise i want to find a restaurant that ser
inform,north american
request,may i have the address and area
request,and the phone number
inform,in the north part of town
request,what kind of food do they serve
inform,west part of town
null,unintelligible
request,what type of food do they have
inform,im looking for a restaurant serving
null,sil
affirm,yes
reqalts,anything else
inform,uh it doesnt matter
confirm,and is this a moderately priced restaurant
inform,any
bye,very good thank you good bye
affirm,yes
inform,corsica food
thankyou,thank you goodbye
request,type of food does it serve
request,okay what is their address
inform,expensive
inform,i dont care
inform,im looking for world food
request,what is the telephone number
inform,in any area
thankyou,thank you good bye
reqalts,is there anything else
thankyou,thank you good bye
inform,south
request,what is the address phone number and post code
request,okay whats the address
inform,the south
